산업,연령,성별,시도,규모,P_F
건설업,20~29세,여자,서울,10~19인,5.021129012967611e-06
건설업,20~29세,여자,서울,20~49인,6.427625106867717e-06
건설업,20~29세,여자,서울,300~499인,5.6965108979317386e-05
건설업,20~29세,여자,서울,500~999인,7.868006559989792e-05
건설업,20~29세,여자,서울,50~99인,1.860423549637992e-05
건설업,20~29세,여자,서울,5~9인,4.948325052214883e-06
건설업,20~29세,여자,서울,5인 미만,2.0095688277249163e-05
건설업,20~29세,여자,세종,100~299인,6.456730034657827e-07
건설업,20~29세,여자,세종,10~19인,2.0742833473685087e-07
건설업,20~29세,여자,세종,20~49인,1.5249842158802182e-07
건설업,20~29세,여자,세종,50~99인,7.140898899854893e-07
건설업,20~29세,여자,세종,5~9인,2.696745995339744e-07
건설업,20~29세,여자,세종,5인 미만,6.990319532009909e-07
건설업,20~29세,여자,울산,100~299인,2.416563976790376e-06
건설업,20~29세,여자,울산,10~19인,6.387835217577485e-07
건설업,20~29세,여자,울산,20~49인,7.717465572462532e-07
건설업,20~29세,여자,울산,300~499인,3.812483010479582e-06
건설업,20~29세,여자,울산,500~999인,3.3447885979273255e-06
건설업,20~29세,여자,울산,50~99인,1.4629179247558234e-06
건설업,20~29세,여자,울산,5~9인,5.908866601884999e-07
건설업,20~29세,여자,울산,5인 미만,2.2259197956396065e-06
건설업,20~29세,여자,인천,"1,000인 이상",2.0988976841913515e-06
건설업,20~29세,여자,인천,100~299인,6.543638880270045e-06
건설업,20~29세,여자,인천,10~19인,1.7184315716509046e-06
건설업,20~29세,여자,인천,20~49인,2.059674245826298e-06
건설업,20~29세,여자,인천,300~499인,6.101515214802731e-06
건설업,20~29세,여자,인천,50~99인,5.030578151448191e-06
건설업,20~29세,여자,인천,5~9인,1.9639551503794927e-06
건설업,20~29세,여자,인천,5인 미만,9.879154694689631e-06
건설업,20~29세,여자,전남,100~299인,6.710149369849525e-06
건설업,20~29세,여자,전남,10~19인,2.203290670149477e-06
건설업,20~29세,여자,전남,20~49인,2.1389880057117196e-06
건설업,20~29세,여자,전남,300~499인,6.249697169128738e-06
건설업,20~29세,여자,전남,500~999인,3.673877800578051e-06
건설업,20~29세,여자,전남,50~99인,3.872847859270366e-06
건설업,20~29세,여자,전남,5~9인,2.1999404060802387e-06
건설업,20~29세,여자,전남,5인 미만,6.4790168346193225e-06
건설업,20~29세,여자,전북,100~299인,1.6994225994595631e-06
건설업,20~29세,여자,전북,10~19인,1.651525319299088e-06
건설업,20~29세,여자,전북,20~49인,1.3769836100229944e-06
건설업,20~29세,여자,전북,50~99인,2.2681106924197037e-06
건설업,20~29세,여자,전북,5~9인,1.9951463206481658e-06
건설업,20~29세,여자,전북,5인 미만,6.431057283621724e-06
건설업,20~29세,여자,제주,100~299인,6.421871678561875e-07
건설업,20~29세,여자,제주,10~19인,8.227509675877618e-07
건설업,20~29세,여자,제주,20~49인,4.950952680054693e-07
건설업,20~29세,여자,제주,50~99인,1.028422927252645e-06
건설업,20~29세,여자,제주,5~9인,1.0349331850784944e-06
건설업,20~29세,여자,제주,5인 미만,3.17062681898106e-06
건설업,20~29세,여자,충남,100~299인,5.488138944172414e-06
건설업,20~29세,여자,충남,10~19인,2.364700243989825e-06
건설업,20~29세,여자,충남,20~49인,2.3079790853447615e-06
건설업,20~29세,여자,충남,300~499인,3.972024659961914e-06
건설업,20~29세,여자,충남,50~99인,2.8287095609358605e-06
건설업,20~29세,여자,충남,5~9인,2.721856811468281e-06
건설업,20~29세,여자,충남,5인 미만,1.0134821121498685e-05
건설업,20~29세,여자,충북,100~299인,3.14487246286685e-06
건설업,20~29세,여자,충북,10~19인,2.4717112237388225e-06
건설업,20~29세,여자,충북,20~49인,2.367820129137455e-06
건설업,20~29세,여자,충북,300~499인,5.443814441559278e-06
건설업,20~29세,여자,충북,50~99인,3.6714571848372434e-06
건설업,20~29세,여자,충북,5~9인,2.344461725539732e-06
건설업,20~29세,여자,충북,5인 미만,8.407729732142837e-06
건설업,30~39세,남자,강원,100~299인,1.4783503634167105e-05
건설업,30~39세,남자,강원,10~19인,3.608824857124901e-05
건설업,30~39세,남자,강원,20~49인,3.329871877776165e-05
건설업,30~39세,남자,강원,50~99인,3.23810128627204e-05
건설업,30~39세,남자,강원,5~9인,3.5954599531563705e-05
