baseline_id	industry	size_class	region	accident_count	death_count	serious_ratio	top_accident_type
339	전기가스증기수도사업	100~299인	제주	5	0	0.0000	업무상질병
340	전기가스증기수도사업	100~299인	충남	16	2	0.1250	끼임
341	전기가스증기수도사업	100~299인	충북	6	0	0.0000	체육행사
342	전기가스증기수도사업	10~19인	강원	11	1	0.0909	업무상질병
343	전기가스증기수도사업	10~19인	경기	20	2	0.1000	넘어짐
344	전기가스증기수도사업	10~19인	경남	16	0	0.0000	넘어짐
345	전기가스증기수도사업	10~19인	경북	17	0	0.0000	업무상질병
346	전기가스증기수도사업	10~19인	광주	2	0	0.0000	사업장외교통사고
347	전기가스증기수도사업	10~19인	대구	4	0	0.0000	떨어짐
348	전기가스증기수도사업	10~19인	대전	4	0	0.0000	물체에맞음
349	전기가스증기수도사업	10~19인	부산	2	0	0.0000	물체에맞음
350	전기가스증기수도사업	10~19인	서울	4	0	0.0000	이상온도물체접촉
351	전기가스증기수도사업	10~19인	울산	9	0	0.0000	업무상질병
352	전기가스증기수도사업	10~19인	인천	2	0	0.0000	불균형및무리한동작
353	전기가스증기수도사업	10~19인	전남	9	2	0.2222	업무상질병
354	전기가스증기수도사업	10~19인	전북	13	0	0.0000	사업장외교통사고
355	전기가스증기수도사업	10~19인	제주	3	0	0.0000	이상온도물체접촉
356	전기가스증기수도사업	10~19인	충남	9	0	0.0000	이상온도물체접촉
357	전기가스증기수도사업	10~19인	충북	8	1	0.1250	업무상질병
358	전기가스증기수도사업	20~29인	강원	9	0	0.0000	떨어짐
359	전기가스증기수도사업	20~29인	경기	21	1	0.0476	넘어짐
360	전기가스증기수도사업	20~29인	경남	11	0	0.0000	업무상질병
361	전기가스증기수도사업	20~29인	경북	7	0	0.0000	넘어짐
362	전기가스증기수도사업	20~29인	광주	7	0	0.0000	물체에맞음
363	전기가스증기수도사업	20~29인	대구	9	1	0.1111	불균형및무리한동작
364	전기가스증기수도사업	20~29인	대전	2	1	0.5000	떨어짐
365	전기가스증기수도사업	20~29인	부산	1	0	0.0000	떨어짐
366	전기가스증기수도사업	20~29인	서울	1	0	0.0000	넘어짐
367	전기가스증기수도사업	20~29인	울산	3	0	0.0000	끼임
368	전기가스증기수도사업	20~29인	인천	3	0	0.0000	넘어짐
369	전기가스증기수도사업	20~29인	전남	5	0	0.0000	체육행사
370	전기가스증기수도사업	20~29인	전북	16	0	0.0000	업무상질병
371	전기가스증기수도사업	20~29인	제주	3	0	0.0000	절단베임찔림
372	전기가스증기수도사업	20~29인	충남	3	0	0.0000	넘어짐
373	전기가스증기수도사업	300~499인	강원	1	0	0.0000	끼임
374	전기가스증기수도사업	300~499인	경기	2	0	0.0000	업무상질병
375	전기가스증기수도사업	300~499인	경남	9	0	0.0000	화학물질누출접촉
376	전기가스증기수도사업	300~499인	대전	3	0	0.0000	불균형및무리한동작
377	전기가스증기수도사업	300~499인	부산	7	0	0.0000	넘어짐
378	전기가스증기수도사업	300~499인	서울	6	1	0.1667	업무상질병
379	전기가스증기수도사업	300~499인	울산	1	0	0.0000	물체에맞음
380	전기가스증기수도사업	300~499인	인천	2	0	0.0000	부딪힘
381	전기가스증기수도사업	300~499인	제주	4	2	0.5000	업무상질병
382	전기가스증기수도사업	300~499인	충남	10	1	0.1000	업무상질병
383	전기가스증기수도사업	30~49인	강원	12	0	0.0000	업무상질병
384	전기가스증기수도사업	30~49인	경기	28	0	0.0000	끼임
385	전기가스증기수도사업	30~49인	경남	7	0	0.0000	넘어짐
386	전기가스증기수도사업	30~49인	경북	8	0	0.0000	사업장외교통사고
387	전기가스증기수도사업	30~49인	광주	5	0	0.0000	끼임
388	전기가스증기수도사업	30~49인	대구	10	0	0.0000	체육행사
389	전기가스증기수도사업	30~49인	대전	3	1	0.3333	동물상해
390	전기가스증기수도사업	30~49인	부산	7	0	0.0000	끼임
391	전기가스증기수도사업	30~49인	서울	8	1	0.1250	넘어짐
392	전기가스증기수도사업	30~49인	울산	43	0	0.0000	넘어짐
393	전기가스증기수도사업	30~49인	인천	10	0	0.0000	떨어짐
394	전기가스증기수도사업	30~49인	전남	6	1	0.1667	넘어짐
395	전기가스증기수도사업	30~49인	전북	6	1	0.1667	업무상질병
396	전기가스증기수도사업	30~49인	충남	7	0	0.0000	사업장외교통사고
397	전기가스증기수도사업	30~49인	충북	3	1	0.3333	이상온도물체접촉
398	전기가스증기수도사업	500~999인	경기	2	0	0.0000	깔림.뒤집힘
399	전기가스증기수도사업	500~999인	경남	2	0	0.0000	떨어짐
400	전기가스증기수도사업	500~999인	울산	2	0	0.0000	체육행사
401	전기가스증기수도사업	500~999인	인천	3	0	0.0000	체육행사
402	전기가스증기수도사업	500~999인	충남	15	1	0.0667	업무상질병
403	전기가스증기수도사업	500~999인	충북	2	2	1.0000	업무상질병
404	전기가스증기수도사업	50~99인	강원	12	0	0.0000	업무상질병
405	전기가스증기수도사업	50~99인	경기	36	1	0.0278	업무상질병
406	전기가스증기수도사업	50~99인	경남	14	2	0.1429	넘어짐
407	전기가스증기수도사업	50~99인	경북	10	0	0.0000	떨어짐
408	전기가스증기수도사업	50~99인	광주	6	0	0.0000	넘어짐
409	전기가스증기수도사업	50~99인	대구	10	0	0.0000	체육행사
410	전기가스증기수도사업	50~99인	대전	3	0	0.0000	물체에맞음
411	전기가스증기수도사업	50~99인	부산	14	1	0.0714	감전
412	전기가스증기수도사업	50~99인	서울	12	0	0.0000	떨어짐
413	전기가스증기수도사업	50~99인	울산	11	1	0.0909	폭발파열
414	전기가스증기수도사업	50~99인	인천	11	0	0.0000	끼임
415	전기가스증기수도사업	50~99인	전남	17	1	0.0588	넘어짐
416	전기가스증기수도사업	50~99인	전북	12	0	0.0000	넘어짐
417	전기가스증기수도사업	50~99인	제주	5	0	0.0000	넘어짐
418	전기가스증기수도사업	50~99인	충남	4	0	0.0000	업무상질병
419	전기가스증기수도사업	50~99인	충북	4	0	0.0000	물체에맞음
420	전기가스증기수도사업	5~9인	강원	5	0	0.0000	불균형및무리한동작
421	전기가스증기수도사업	5~9인	경기	5	0	0.0000	이상온도물체접촉
422	전기가스증기수도사업	5~9인	경남	6	0	0.0000	불균형및무리한동작
423	전기가스증기수도사업	5~9인	경북	5	0	0.0000	절단베임찔림
424	전기가스증기수도사업	5~9인	광주	3	1	0.3333	업무상질병
425	전기가스증기수도사업	5~9인	대구	3	0	0.0000	업무상질병
426	전기가스증기수도사업	5~9인	대전	4	0	0.0000	떨어짐
427	전기가스증기수도사업	5~9인	부산	1	0	0.0000	업무상질병
428	전기가스증기수도사업	5~9인	서울	2	0	0.0000	넘어짐
429	전기가스증기수도사업	5~9인	울산	2	0	0.0000	깔림.뒤집힘
430	전기가스증기수도사업	5~9인	인천	2	0	0.0000	끼임
431	전기가스증기수도사업	5~9인	전남	4	0	0.0000	업무상질병
432	전기가스증기수도사업	5~9인	전북	2	0	0.0000	부딪힘
433	전기가스증기수도사업	5~9인	제주	1	0	0.0000	끼임
434	전기가스증기수도사업	5~9인	충남	2	0	0.0000	사업장외교통사고
435	전기가스증기수도사업	5~9인	충북	4	1	0.2500	물체에맞음
436	전기가스증기수도사업	5인 미만	강원	5	1	0.2000	사업장외교통사고
437	전기가스증기수도사업	5인 미만	경기	11	0	0.0000	물체에맞음
438	전기가스증기수도사업	5인 미만	경남	7	0	0.0000	깔림.뒤집힘
439	전기가스증기수도사업	5인 미만	경북	5	0	0.0000	넘어짐
440	전기가스증기수도사업	5인 미만	광주	2	0	0.0000	부딪힘
441	전기가스증기수도사업	5인 미만	대구	7	0	0.0000	물체에맞음
442	전기가스증기수도사업	5인 미만	대전	2	0	0.0000	넘어짐
443	전기가스증기수도사업	5인 미만	부산	2	0	0.0000	불균형및무리한동작
444	전기가스증기수도사업	5인 미만	서울	6	0	0.0000	넘어짐
445	전기가스증기수도사업	5인 미만	울산	2	0	0.0000	넘어짐
446	전기가스증기수도사업	5인 미만	인천	5	0	0.0000	불균형및무리한동작
447	전기가스증기수도사업	5인 미만	전남	8	0	0.0000	떨어짐
448	전기가스증기수도사업	5인 미만	전북	9	0	0.0000	물체에맞음
449	전기가스증기수도사업	5인 미만	충남	1	1	1.0000	업무상질병
450	전기가스증기수도사업	5인 미만	충북	4	1	0.2500	이상온도물체접촉
451	제조업	1,000인 이상	강원	21	2	0.0952	업무상질병
452	제조업	1,000인 이상	경기	3215	122	0.0379	업무상질병
453	제조업	1,000인 이상	경남	6656	60	0.0090	업무상질병
454	제조업	1,000인 이상	경북	722	25	0.0346	업무상질병
455	제조업	1,000인 이상	광주	3110	19	0.0061	업무상질병
